初始的世界|＠|||||||||||||
混亂的宇宙法則|不平整的地平線|夕陽餘暉的強子|貓咪們的相對論|質子中子沒電子|微中子奇異雪原|＠||||||||
海帶拳高原|蘿蔔蹲步道|紅綠燈湖畔|大風吹溪流|跳房子山峰|鬼抓人樹林|＠||||||||
原住民都是臨演|寄宿家庭沒房子|AI傳統捕魚法|活祭品體驗課程|＠||||||||||||||||
尚青小海灣|驚死人森林|哩恭蝦密島|黑白做運河|落漆護城河|莊孝維公路|金實在都心|練肖話山洞|＠||||||||||||
大潮時的岸邊|冒牌珊瑚礁群|小心魚翅出沒|海底只有兩里|水下洞穴探險|深海的另一頭|＠||||||||||||
兇猛的草原巨象|安靜的草原石像|住在洞窟的臉君|住在洞窟的樹懶|沙漠中出現野狗|沙漠中出現河豚|＠||||||||||||
萬里尋數學班|畢達哥拉斯河|一加二等於山|三角函數礦坑|等腰三角形溪|終點在Ｐ座標|＠||||||||||||
一無所知智辯家|半輩子都在反證|充滿反諷的森林|搶答式的申論題|滿是醜話的荒原|執著於好好活著|＠||||||||||||
往自由的登陸點|非常大的一小步|滿是大漢堡花園|大草原的小海灣|經濟奇蹟的美夢|雄偉草原的港口|＠
古歌卡拉OK|哀肌快照機台|元宇宙健身房|蘋果五金百貨|脫窗雲端公司|藍鳥太空新創|＠
鐵盒水果糖墓園|可樂橡皮糖湖畔|果凍條大雨特報|嗶嗶口哨糖群島|豬耳朵餅乾遺跡|超級跳跳糖樂園|＠
碘化鉀液海洋|滿是藥味牢房|煉蠱的孤獨感|無意義的突變|意外製出猛藥|暖心生物兵器|＠
組合屋大教堂|戶外午睡體驗|雜草叢生庭園|快閃般的遊行|毫無隱私沙灘|很誇張的旅費|＠
弗萊明航道|反物質叢林|無磁場地帶|熵熱帶天堂|歐拉數群島|違天意重力|＠
來歷不明一日船長|不通風陽台豪華房|求婚前夕風平浪靜|自動避開危機系統|到處插隊的海盜們|平安無事到達港口|＠
裝飾般的守衛|無殺傷力陷阱|自動導航迷宮|偽友善邪教徒|超明顯的暗門|沒上鎖的寶庫|＠
竹蜻蜓棲息地|溜溜球闊葉樹|水晶寶寶沼澤|吹吹卷水草群|木製陀螺丘陵|尪仔標大瀑布|＠
漂流巴士總站|珊瑚社會住宅|沈船改造民宿|活烏賊博物館|海帶芽露營場|海蘊大觀景台|＠
畢生的知識探索|獨自孤獨的理論|掉落果實的法則|七彩綻放的光芒|假說無須再多言|無法測量的強者|＠
計時開始星光塔|22點22分觀測員|滴答滴答住宅區|高超的時間小偷|黑漆漆時鐘監獄|時針分針的幽會|＠
脆口餅乾山脈|冰涼奶霜雪原|提拉米蘇斷崖|難忘珍奶山丘|秘境椰果古道|冰巧克力靈廟|＠
臃腫木乃伊|騷擾上天堂|守法下地獄|超活力亡靈|邪惡神職者|冥府來回票|＠
