Tremble-terre|Retour de la terreur|Blues du crépuscule|Marais mélancolique|Parc bondissant|Un doux sourire|Gardien du ranch|Lion endormi|＠||
Nyandalousie|Champ de la paella|Trou au flamenco|Rivière Sangria|Monts Gazpacho|Nuit des churros|Jardins arides|Désert de tapas|＠||
Dune de chondroïtine|Ruines de sésamine|Grotte d’isoflavone|Colline de catéchine|Crépuscule de lycopène|Oasis de propolis|Piste de peptides|Mont hyaluronique|＠||
Lancement prématuré|Bleu profond|Crique des sirènes|Lagon du chaos|À l’abordage !|Dilemme du pêcheur|Bas-fonds salins|Salée, l’eau de mer|＠||
Adorables minéraux|Cavernes harmonieuses|Tunnels attractifs|Vallon spongieux|Pics identiques|Pont du suspense|＠||||
Aube du malfrat|Havre du cow-boy|Nuit recherchée|Cité des macaronis|Baroudeur|Garde déçu|Mont du cow-boy|Nuit de rodéo|＠||
Côte du thon rouge|Quai frais|Océan bleu|Eaux de Carapaccio|Mer économique|Thon de guerre tactique|Front du thon surgelé|Filet de grotte|＠||
Champ d’épines|Côte de bambou|Jungle du tueur en série|Marais dégoûtant|Grotte abandonnée|Rue Poussière d’étoile|Falaise du champignon|Esprit frontalier|＠||
Tunnel lacté|Arme noire duveteuse|Fresque du Diable|Le vent souffle|Tueur juvénile|Rocher fâché|Grotte inondée|Le gras c’est la vie|＠||
Rocher du bain chaud|Gentil geyser|Épais magma|Cage en feu|Défenseur volcanique|Caldera en flammes|＠||||
Route potentielle|Arbre lugubre|Chanson dans le vent|Route de la philo|Cloche frontalière|Torrent de larmes|Route éclatante|Au cœur de l’épreuve|＠||
Murmures de la mer|Île ondulante|Mer de poulpe|Repos de Poséidon|Plage au clair de lune|Barrière de corail corail|Arche de la Lune|Sardines tueuses|＠||
Champ de thons|Champ de crabes|Grotte des saumons|Grotte des oursins|Bois du caviar|Baie du natto|Forêt de flétans|Frontière des gambas|＠||
Couloir de carton|Rêve d’herbe à Chats|Paroi croquante|Griffoir griffé|Pilier croquant|Géant désapprobateur|＠||||
Autel de Zeus|Épée d’Achille|Route d’Éros|Aube de Gaïa|Portes d’Aphrodite|Labyrinthe d’Hadès|＠||||
Crique humide|Mammifères échoués|Territoire du bikini|Océan de pommes|Champ de parasols|Une pièce antique|Sables transparents|Océan d’étoiles|＠||
Côte des goélands|Île des pélicans|Base souterraine|Jungle des méchants|Cap ou pas cap|Épreuve féline|Prairie carcérale|Geôlier à la morgue|＠||
Péché et châtiment|Sentence carcérale|Tunnel Harry|Chutes des morts|Zone d’embûche|Le fugitif|＠||||
Journal d’un évadé|Dernier gang|Destruction carcérale|Roi de la liberté|Destin du menteur|Tabou de porcherie|＠||||
Repos de Gandara|Par ici l’utopie|Col de Godiego|Magie de primate|Porte de l’outsider|Route de Marco Po|Pâtée pour porc|Sueur froide de canaille|＠||
En sécurité, et toc|Claustronyctophobie|Alerte rouge|Embûches de la vie|Subtil couvre-feu|Sous terre|＠||||
Le tapis rouge|La salle de bain|La salle VIP|La salle de torture|Jardin du dictateur|Chambre de Satan|＠||||
